Vendor,Total Appearances,Rows with Duplicates,Duplicate Row Numbers
MapFan Directory,43,6,"76, 80, 96, 125, 166, 364"
KingwayTek,41,1,969
2GIS,40,2,"511, 802"
Localeze,34,4,"104, 107, 257, 776"
Market Location,33,2,"63, 617"
GetYourGuide,31,0,
Chunghwa,31,6,"258, 338, 519, 525, 618, 964"
Yext,29,1,378
Apontador,29,3,"632, 660, 1112"
Apontador V2,29,3,"632, 660, 1112"
InfoPortugal,29,5,"42, 135, 269, 734, 1093"
MCH Data,29,0,
Factual.com,28,0,
IPC MapFan,26,0,
Tiqets,22,1,19
PottersTech,19,0,
Ordnance Survey,17,2,"434, 1013"
MapKing,16,4,"122, 157, 449, 488"
MapmyIndia,15,1,1136
TeleListas,14,3,"660, 1067, 1233"
Yell UK,12,1,616
Yellow Medya,10,1,111
JustDial,9,1,238
BasarSoft,9,2,"5, 31"
TNet,8,0,
Deduce Technologies,7,0,
Der Herold,7,1,232
Apple Business Register,6,0,
Yellow Pages Group,4,1,957
Neustar Localeze,4,0,
Teikoku Data Bank,4,0,
Ctrip,3,0,
Local Knowledge,3,1,424
GlobeTech Thailand,3,0,
Pages Jaunes Direct,3,0,
POI Science,3,0,
Uberall,3,0,
MAPA,2,1,646
Directel Macau,2,0,
Tabelog,2,0,
DTG,2,0,
1st Media,2,0,
Italia Online,2,0,
MapIT,2,0,
Vietmap,1,0,
1881 Norway,1,0,
USGS,1,0,
Park Serve,1,0,
National Park Service,1,0,
MapKing Buildings,1,0,
MapCity,1,0,
Library Technologies,1,0,
Goldenpages IE,1,0,
Fonecta,1,0,
DestinyCS,1,0,
ifoodie,1,0,
